age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y,pdays_contacted_before,pdays_clean,score
37,admin.,single,high.school,no,no,no,cellular,mar,wed,2,4,2,success,-1.8,93.369,-34.8,0.655,5008.7,yes,1,4,0.955
50,management,married,university.degree,no,yes,no,cellular,jul,thu,1,999,0,nonexistent,-1.7,94.215,-40.3,0.846,4991.6,yes,0,-1,0.955
85,retired,married,basic.4y,no,no,no,cellular,sep,tue,1,3,2,success,-1.1,94.199,-37.5,0.881,4963.6,yes,1,3,0.955
52,management,married,university.degree,no,yes,no,cellular,may,fri,3,3,3,success,-1.8,93.876,-40.0,0.684,5008.7,yes,1,3,0.955
71,admin.,married,basic.4y,no,yes,yes,cellular,may,fri,4,3,2,success,-1.8,93.876,-40.0,0.684,5008.7,yes,1,3,0.955
31,admin.,married,university.degree,no,yes,no,cellular,may,thu,1,3,1,success,-1.8,93.876,-40.0,0.683,5008.7,yes,1,3,0.955
34,admin.,single,university.degree,no,no,yes,cellular,mar,tue,2,3,1,success,-1.8,93.369,-34.8,0.652,5008.7,yes,1,3,0.955
80,housemaid,married,basic.4y,no,yes,yes,cellular,apr,tue,1,12,1,success,-1.8,93.749,-34.6,0.644,5008.7,yes,1,12,0.955
59,retired,married,professional.course,no,yes,no,cellular,aug,fri,2,3,2,success,-1.7,94.027,-38.3,0.905,4991.6,yes,1,3,0.955
27,admin.,single,unknown,no,no,no,cellular,mar,tue,1,3,1,success,-1.8,93.369,-34.8,0.637,5008.7,yes,1,3,0.955
18,student,single,unknown,no,yes,no,cellular,aug,wed,2,6,1,success,-1.7,94.027,-38.3,0.9,4991.6,yes,1,6,0.955
50,admin.,married,university.degree,no,yes,no,cellular,may,wed,2,3,3,success,-1.8,93.876,-40.0,0.682,5008.7,yes,1,3,0.955
31,technician,married,university.degree,no,no,no,cellular,sep,thu,1,3,1,success,-1.1,94.199,-37.5,0.878,4963.6,yes,1,3,0.9547105346217344
48,admin.,married,university.degree,no,yes,yes,cellular,apr,thu,1,6,2,success,-1.8,93.749,-34.6,0.644,5008.7,yes,1,6,0.9544999453731018
46,unemployed,single,university.degree,no,no,no,cellular,mar,tue,1,10,2,success,-1.8,93.369,-34.8,0.646,5008.7,yes,1,10,0.9525
58,unemployed,married,basic.9y,no,yes,no,cellular,apr,thu,1,6,1,success,-1.8,93.749,-34.6,0.644,5008.7,yes,1,6,0.9525
28,management,single,university.degree,no,yes,no,cellular,sep,wed,3,6,1,success,-1.1,94.199,-37.5,0.88,4963.6,yes,1,6,0.9525
61,admin.,married,unknown,no,no,no,cellular,may,thu,3,9,2,success,-1.8,93.876,-40.0,0.699,5008.7,yes,1,9,0.9525
34,admin.,single,university.degree,no,no,no,cellular,nov,thu,1,6,1,success,-3.4,92.649,-30.1,0.714,5017.5,yes,1,6,0.9525
68,retired,divorced,high.school,no,yes,yes,cellular,jul,wed,1,3,1,success,-1.7,94.215,-40.3,0.896,4991.6,yes,1,3,0.9525
24,student,single,high.school,no,yes,yes,cellular,sep,wed,2,6,2,success,-1.1,94.199,-37.5,0.876,4963.6,yes,1,6,0.9525
33,admin.,single,university.degree,no,no,no,cellular,mar,mon,1,6,2,success,-1.8,93.369,-34.8,0.646,5008.7,yes,1,6,0.9522175755074294
42,blue-collar,married,basic.9y,no,yes,no,cellular,aug,fri,1,6,1,success,-1.7,94.027,-38.3,0.898,4991.6,yes,1,6,0.9522155724968436
50,housemaid,married,basic.4y,no,no,yes,cellular,jul,wed,1,4,1,success,-1.7,94.215,-40.3,0.896,4991.6,yes,1,4,0.9519329052151112
33,admin.,married,university.degree,no,yes,no,cellular,apr,wed,1,6,1,success,-1.8,93.749,-34.6,0.654,5008.7,yes,1,6,0.95
36,admin.,married,university.degree,no,yes,yes,cellular,may,thu,1,6,2,success,-1.8,93.876,-40.0,0.699,5008.7,yes,1,6,0.95
48,admin.,married,university.degree,no,yes,yes,cellular,aug,wed,1,0,3,success,-1.7,94.027,-38.3,0.9,4991.6,yes,1,0,0.95
58,blue-collar,married,basic.4y,no,yes,no,cellular,aug,wed,1,3,1,success,-1.7,94.027,-38.3,0.9,4991.6,yes,1,3,0.95
29,admin.,single,high.school,no,yes,no,cellular,nov,fri,2,7,2,success,-3.4,92.649,-30.1,0.714,5017.5,yes,1,7,0.95
45,management,married,university.degree,no,yes,no,cellular,jul,thu,2,6,2,success,-1.7,94.215,-40.3,0.884,4991.6,yes,1,6,0.95
83,retired,divorced,basic.4y,no,no,no,cellular,sep,thu,1,9,3,success,-1.1,94.199,-37.5,0.879,4963.6,yes,1,9,0.95
24,student,single,unknown,no,yes,no,cellular,nov,wed,2,3,3,success,-3.4,92.649,-30.1,0.716,5017.5,yes,1,3,0.95
60,housemaid,married,basic.4y,no,yes,yes,cellular,apr,thu,1,12,1,success,-1.8,93.749,-34.6,0.635,5008.7,yes,1,12,0.95
30,technician,married,professional.course,no,yes,no,cellular,oct,mon,1,6,1,success,-1.1,94.601,-49.5,1.032,4963.6,yes,1,6,0.95
57,management,married,university.degree,no,no,no,cellular,sep,fri,2,6,2,success,-1.1,94.199,-37.5,0.883,4963.6,yes,1,6,0.95
35,unemployed,married,high.school,no,yes,no,cellular,aug,mon,1,6,1,success,-1.7,94.027,-38.3,0.904,4991.6,yes,1,6,0.95
54,admin.,married,high.school,no,yes,no,cellular,nov,fri,1,3,3,success,-3.4,92.649,-30.1,0.716,5017.5,yes,1,3,0.95
85,housemaid,married,basic.4y,unknown,yes,no,cellular,apr,tue,1,6,2,success,-1.8,93.749,-34.6,0.642,5008.7,yes,1,6,0.95
30,blue-collar,single,professional.course,no,no,no,cellular,aug,wed,1,9,1,success,-1.7,94.027,-38.3,0.9,4991.6,yes,1,9,0.95
28,admin.,single,unknown,no,yes,no,cellular,apr,wed,2,6,4,success,-1.8,93.749,-34.6,0.654,5008.7,yes,1,6,0.95
29,admin.,single,high.school,no,yes,no,cellular,jul,thu,1,6,1,success,-1.7,94.215,-40.3,0.81,4991.6,yes,1,6,0.95
60,blue-collar,married,basic.4y,no,yes,no,cellular,may,mon,2,6,2,success,-1.8,93.876,-40.0,0.685,5008.7,yes,1,6,0.95
28,admin.,single,university.degree,no,no,no,cellular,mar,wed,2,999,0,nonexistent,-1.8,92.843,-50.0,1.548,5099.1,yes,0,-1,0.9494340584636302
28,admin.,single,university.degree,no,no,no,cellular,mar,wed,2,999,0,nonexistent,-1.8,92.843,-50.0,1.548,5099.1,yes,0,-1,0.9494340584636302
31,admin.,single,university.degree,no,yes,no,telephone,mar,tue,1,3,2,success,-1.8,93.369,-34.8,0.646,5008.7,yes,1,3,0.9475
34,admin.,single,university.degree,no,no,no,telephone,mar,tue,1,3,1,success,-1.8,93.369,-34.8,0.652,5008.7,yes,1,3,0.9475
76,retired,married,professional.course,unknown,yes,no,cellular,jun,tue,1,3,1,success,-1.7,94.055,-39.8,0.761,4991.6,yes,1,3,0.9475
29,admin.,single,university.degree,no,no,no,cellular,may,thu,1,3,3,success,-1.8,93.876,-40.0,0.683,5008.7,yes,1,3,0.9475
32,admin.,single,university.degree,no,no,no,cellular,jun,fri,1,999,0,nonexistent,-2.9,92.963,-40.8,1.268,5076.2,yes,0,-1,0.9475
32,admin.,single,university.degree,no,no,no,cellular,jun,fri,1,999,0,nonexistent,-2.9,92.963,-40.8,1.268,5076.2,yes,0,-1,0.9475
34,admin.,single,university.degree,no,yes,no,cellular,nov,thu,1,3,2,success,-3.4,92.649,-30.1,0.714,5017.5,yes,1,3,0.9475
54,admin.,married,high.school,no,no,no,cellular,oct,wed,2,6,2,success,-1.1,94.601,-49.5,0.985,4963.6,yes,1,6,0.9475
60,retired,married,high.school,no,no,no,cellular,may,thu,3,6,1,success,-1.8,93.876,-40.0,0.699,5008.7,yes,1,6,0.9475
22,student,single,high.school,no,no,no,cellular,sep,wed,3,5,1,success,-1.1,94.199,-37.5,0.886,4963.6,yes,1,5,0.9475
48,admin.,married,university.degree,no,yes,no,cellular,apr,thu,1,999,0,nonexistent,-1.8,93.749,-34.6,0.644,5008.7,yes,0,-1,0.9475
76,retired,married,university.degree,no,no,yes,cellular,dec,thu,3,4,2,success,-3.0,92.713,-33.0,0.712,5023.5,yes,1,4,0.9475
56,retired,married,high.school,no,no,no,cellular,jun,tue,1,3,1,success,-1.7,94.055,-39.8,0.761,4991.6,yes,1,3,0.9475
24,student,single,unknown,no,yes,no,cellular,sep,wed,1,5,1,success,-1.1,94.199,-37.5,0.886,4963.6,yes,1,5,0.9475
50,housemaid,married,basic.6y,no,no,no,cellular,jul,thu,3,6,2,success,-1.7,94.215,-40.3,0.899,4991.6,yes,1,6,0.9475
40,technician,married,professional.course,no,yes,no,cellular,apr,thu,2,2,1,success,-1.8,93.075,-47.1,1.365,5099.1,yes,1,2,0.9475
37,management,married,university.degree,no,yes,no,cellular,jul,fri,1,6,1,success,-1.7,94.215,-40.3,0.896,4991.6,yes,1,6,0.9475
83,housemaid,divorced,basic.4y,no,yes,no,cellular,jul,tue,2,3,1,success,-1.7,94.215,-40.3,0.797,4991.6,yes,1,3,0.9475
44,admin.,single,university.degree,no,no,no,cellular,jun,tue,2,4,1,success,-2.9,92.963,-40.8,1.262,5076.2,yes,1,4,0.9470355874680179
53,management,divorced,university.degree,no,no,yes,cellular,nov,fri,2,3,1,success,-3.4,92.649,-30.1,0.716,5017.5,yes,1,3,0.9470004370629371
52,admin.,married,university.degree,no,no,no,cellular,mar,tue,1,6,2,success,-1.8,93.369,-34.8,0.646,5008.7,yes,1,6,0.9469999453731017
56,retired,married,university.degree,no,no,no,cellular,nov,wed,1,3,1,success,-3.4,92.649,-30.1,0.716,5017.5,yes,1,3,0.945
