StockCode,Description,Ma_cum,Ten_cum
15060B,FAIRY CAKE DESIGN UMBRELLA,0,Hàng giá trị cao - ổn định
16008,SMALL FOLDING SCISSOR(POINTED EDGE),1,Hàng giá rẻ - số lượng lớn
16011,ANIMAL STICKERS,1,Hàng giá rẻ - số lượng lớn
16012,FOOD/DRINK SPONGE STICKERS,1,Hàng giá rẻ - số lượng lớn
16014,SMALL CHINESE STYLE SCISSOR,1,Hàng giá rẻ - số lượng lớn
16015,MEDIUM CHINESE STYLE SCISSOR,1,Hàng giá rẻ - số lượng lớn
16016,LARGE CHINESE STYLE SCISSOR,1,Hàng giá rẻ - số lượng lớn
16020C,CLEAR STATIONERY BOX SET ,4,Hàng bán chậm - ít khách
16033,MINI HIGHLIGHTER PENS,1,Hàng giá rẻ - số lượng lớn
16043,POP ART PUSH DOWN RUBBER ,1,Hàng giá rẻ - số lượng lớn
16045,POPART WOODEN PENCILS ASST,1,Hàng giá rẻ - số lượng lớn
16046,TEATIME PEN CASE & PENS,1,Hàng giá rẻ - số lượng lớn
16047,POP ART PEN CASE & PENS,1,Hàng giá rẻ - số lượng lớn
16048,TEATIME ROUND PENCIL SHARPENER ,1,Hàng giá rẻ - số lượng lớn
16049,TEATIME GEL PENS ASST,1,Hàng giá rẻ - số lượng lớn
16050,TEATIME PENCIL WITH RUBBER,1,Hàng giá rẻ - số lượng lớn
16052,TEATIME PUSH DOWN RUBBER,1,Hàng giá rẻ - số lượng lớn
16053,POPART COL BALLPOINT PEN ASST,1,Hàng giá rẻ - số lượng lớn
16054,POPART RECT PENCIL SHARPENER ASST,1,Hàng giá rẻ - số lượng lớn
16119,FUNKY GIRL ADDRESS BOOK,1,Hàng giá rẻ - số lượng lớn
16151A,FLOWERS HANDBAG blue and orange,4,Hàng bán chậm - ít khách
16156L,"WRAP, CAROUSEL",1,Hàng giá rẻ - số lượng lớn
16156N,"WRAP, FRIENDSHIP ON GREEN",1,Hàng giá rẻ - số lượng lớn
16156S,WRAP PINK FAIRY CAKES ,3,Hàng chủ lực - bán chạy đều
16161E,WRAP BOUDOIR ,1,Hàng giá rẻ - số lượng lớn
16161G,WRAP BAD HAIR DAY,1,Hàng giá rẻ - số lượng lớn
16161M,WRAP  PINK FLOCK,1,Hàng giá rẻ - số lượng lớn
16161P,WRAP ENGLISH ROSE ,3,Hàng chủ lực - bán chạy đều
16161U,WRAP SUKI AND FRIENDS,3,Hàng chủ lực - bán chạy đều
16162L,THE KING GIFT BAG,1,Hàng giá rẻ - số lượng lớn
16162M,THE KING GIFT BAG 25x24x12cm,4,Hàng bán chậm - ít khách
16168M,FUNKY MONKEY GIFT BAG MEDIUM,1,Hàng giá rẻ - số lượng lớn
16168S,FUNKY MONKEY GIFT BAG SMALL,1,Hàng giá rẻ - số lượng lớn
16169C,WRAP BLUE REINDEER,1,Hàng giá rẻ - số lượng lớn
16169D,WRAP WINTER FOREST,1,Hàng giá rẻ - số lượng lớn
16169E,WRAP 50'S  CHRISTMAS,1,Hàng giá rẻ - số lượng lớn
16169F,WRAP BLIZZARD,1,Hàng giá rẻ - số lượng lớn
16169K,WRAP FOLK ART,1,Hàng giá rẻ - số lượng lớn
16169M,WRAP DAISY CARPET ,1,Hàng giá rẻ - số lượng lớn
16169N,WRAP BLUE RUSSIAN FOLKART,1,Hàng giá rẻ - số lượng lớn
16169P,WRAP GREEN RUSSIAN FOLKART ,1,Hàng giá rẻ - số lượng lớn
16201A,PASTEL PINK PHOTO ALBUM,4,Hàng bán chậm - ít khách
16201B,PASTEL BLUE PHOTO ALBUM,4,Hàng bán chậm - ít khách
16202A,PASTEL PINK PHOTO ALBUM ,1,Hàng giá rẻ - số lượng lớn
16202B,PASTEL BLUE PHOTO ALBUM ,1,Hàng giá rẻ - số lượng lớn
16202C,BEIGE PHOTO ALBUM,4,Hàng bán chậm - ít khách
16202E,BLACK PHOTO ALBUM ,4,Hàng bán chậm - ít khách
16206B,RED PURSE WITH PINK HEART,4,Hàng bán chậm - ít khách
16207A,PINK STRAWBERRY HANDBAG ,2,Hàng ngách - khách quen mua lại
16207B,PINK HEART RED HANDBAG,2,Hàng ngách - khách quen mua lại
16212,FUNKY GIRLZ ASST MAGNETIC MEMO PAD,1,Hàng giá rẻ - số lượng lớn
16216,LETTER SHAPE PENCIL SHARPENER,1,Hàng giá rẻ - số lượng lớn
16218,CARTOON  PENCIL SHARPENERS,1,Hàng giá rẻ - số lượng lớn
16219,HOUSE SHAPE PENCIL SHARPENER,1,Hàng giá rẻ - số lượng lớn
16225,RATTLE SNAKE EGGS,1,Hàng giá rẻ - số lượng lớn
16235,RECYCLED PENCIL WITH RABBIT ERASER,3,Hàng chủ lực - bán chạy đều
16236,KITTY PENCIL ERASERS,3,Hàng chủ lực - bán chạy đều
16237,SLEEPING CAT ERASERS,3,Hàng chủ lực - bán chạy đều
16238,PARTY TIME PENCIL ERASERS,3,Hàng chủ lực - bán chạy đều
16239,BALLERINA HEART DECORATION.,1,Hàng giá rẻ - số lượng lớn
16243B,BROWN COZY SQUARE PHOTO ALBUM,2,Hàng ngách - khách quen mua lại
16244A,MAXWELL 2 TONE PINK 60 PAGE PHOTO A,2,Hàng ngách - khách quen mua lại
16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,1,Hàng giá rẻ - số lượng lớn
16245A,PINK MINI STATIONERY SET W CASE,4,Hàng bán chậm - ít khách
16248B,BLUE HOLE PUNCH,4,Hàng bán chậm - ít khách
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,1,Hàng giá rẻ - số lượng lớn
16256B,FLOWER PENCIL/RUBBER+5 MINI PENCILS,1,Hàng giá rẻ - số lượng lớn
16256C,HEARTS PENCIL/RUBBER+5 MINI PENCILS,1,Hàng giá rẻ - số lượng lớn
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,1,Hàng giá rẻ - số lượng lớn
16258B,DAISY ERASERS IN BAG,1,Hàng giá rẻ - số lượng lớn
16259,PIECE OF CAMO STATIONERY SET,1,Hàng giá rẻ - số lượng lớn
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,1,Hàng giá rẻ - số lượng lớn
17003,BROCADE RING PURSE ,3,Hàng chủ lực - bán chạy đều
17007B,S/3 POT POURI CUSHIONS BLUE COLOURS,4,Hàng bán chậm - ít khách
17011A,ORIGAMI VANILLA INCENSE+FLOWER ,1,Hàng giá rẻ - số lượng lớn
17011F,ORIGAMI SANDLEWOOD INCENSE+FLOWER,1,Hàng giá rẻ - số lượng lớn
17012A,ORIGAMI VANILLA INCENSE/CANDLE SET ,1,Hàng giá rẻ - số lượng lớn
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,0,Hàng giá trị cao - ổn định
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET ,1,Hàng giá rẻ - số lượng lớn
17012D,ORIGAMI ROSE INCENSE/CANDLE SET ,0,Hàng giá trị cao - ổn định
17012E,ORIGAMI OPIUM INCENSE/CANDLE SET ,1,Hàng giá rẻ - số lượng lớn
17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,0,Hàng giá trị cao - ổn định
17013D,ORIGAMI ROSE INCENSE IN TUBE,1,Hàng giá rẻ - số lượng lớn
17013F,ORIGAMI SANDLEWOOD INCENSE IN TUBE,4,Hàng bán chậm - ít khách
17014A,ORIGAMI VANILLA INCENSE CONES,1,Hàng giá rẻ - số lượng lớn
17014D,ORIGAMI ROSE INCENSE CONES,1,Hàng giá rẻ - số lượng lớn
17014E,ORIGAMI OPIUM INCENSE CONES,1,Hàng giá rẻ - số lượng lớn
17021,NAMASTE SWAGAT INCENSE,1,Hàng giá rẻ - số lượng lớn
17033,"BROCADE PURSE,SMALL ARCH BUTTON",1,Hàng giá rẻ - số lượng lớn
17038,PORCELAIN BUDAH INCENSE HOLDER,1,Hàng giá rẻ - số lượng lớn
17039,INLAID WOOD INCENSE HOLDER,1,Hàng giá rẻ - số lượng lớn
17084A,TRANQUILITY MASALA INCENSE,1,Hàng giá rẻ - số lượng lớn
17084J,LOVE POTION MASALA INCENSE,1,Hàng giá rẻ - số lượng lớn
17084N,FAIRY DREAMS INCENSE ,1,Hàng giá rẻ - số lượng lớn
17084P,DRAGONS BLOOD INCENSE,1,Hàng giá rẻ - số lượng lớn
17084R,ASSORTED INCENSE PACK,1,Hàng giá rẻ - số lượng lớn
17090A,LAVENDER INCENSE 40 CONES IN TIN,1,Hàng giá rẻ - số lượng lớn
17090D,VANILLA INCENSE 40 CONES IN TIN,4,Hàng bán chậm - ít khách
17091A,LAVENDER INCENSE IN TIN,1,Hàng giá rẻ - số lượng lớn
17091B,JASMINE TEA INCENSE IN TIN,1,Hàng giá rẻ - số lượng lớn
17091F,SANDALWOOD INCENSE IN TIN,4,Hàng bán chậm - ít khách
17091J,VANILLA INCENSE IN TIN,1,Hàng giá rẻ - số lượng lớn
17096,ASSORTED LAQUERED INCENSE HOLDERS,1,Hàng giá rẻ - số lượng lớn
17107D,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",0,Hàng giá trị cao - ổn định
17108D,FLOWER FAIRY SUMMER BOUQUET SACHET,1,Hàng giá rẻ - số lượng lớn
17109A,FLOWER FAIRY INCENSE LILY,1,Hàng giá rẻ - số lượng lớn
17109B,FLOWER FAIRY INCENSE LAVENDER,1,Hàng giá rẻ - số lượng lớn
17109C,FLOWER FAIRY INCENSE ROSE,1,Hàng giá rẻ - số lượng lớn
17109D,FLOWER FAIRY INCENSE BOUQUET,1,Hàng giá rẻ - số lượng lớn
17129C,SKY BLUE COLOUR GLASS GEMS IN BAG,4,Hàng bán chậm - ít khách
17129D,CLEAR COLOUR GLASS GEMS IN BAG,1,Hàng giá rẻ - số lượng lớn
17129F,BLUE GLASS GEMS IN BAG,2,Hàng ngách - khách quen mua lại
17136A,BLUE STONES ON WIRE FOR CANDLE,1,Hàng giá rẻ - số lượng lớn
17164B,ASS COL SMALL SAND GECKO P'WEIGHT,1,Hàng giá rẻ - số lượng lớn
17164D,ASS COL SMALL SAND FROG P'WEIGHT,1,Hàng giá rẻ - số lượng lớn
17165B,ASS COL LARGE SAND GECKO P'WEIGHT,1,Hàng giá rẻ - số lượng lớn
17165D,ASS COL LARGE SAND FROG P'WEIGHT,1,Hàng giá rẻ - số lượng lớn
17174,ASSTD RASTA KEY-CHAINS,4,Hàng bán chậm - ít khách
17178,FLAT PALM T-LIGHT HOLDER,4,Hàng bán chậm - ít khách
17181,CIRCLE OF FRIENDS CANDLE HOLDER,0,Hàng giá trị cao - ổn định
17191A,ROSE FLOWER CANDLE+INCENSE 16X16CM,4,Hàng bán chậm - ít khách
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,1,Hàng giá rẻ - số lượng lớn
18010,ASSORTED FRAGRANCE BATH CONFETTI,4,Hàng bán chậm - ít khách
18094C,WHITE AND BLUE CERAMIC OIL BURNER,2,Hàng ngách - khách quen mua lại
18096C,WHITE ROUND PORCELAIN TLIGHT HOLDER,4,Hàng bán chậm - ít khách
18097A,PINK TALL PORCELAIN T-LIGHT HOLDER ,4,Hàng bán chậm - ít khách
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,3,Hàng chủ lực - bán chạy đều
18098C,PORCELAIN BUTTERFLY OIL BURNER,0,Hàng giá trị cao - ổn định
20615,BLUE POLKADOT PASSPORT COVER,0,Hàng giá trị cao - ổn định
20616,CHERRY BLOSSOM PASSPORT COVER,2,Hàng ngách - khách quen mua lại
20617,FIRST CLASS PASSPORT COVER ,0,Hàng giá trị cao - ổn định
20618,QUEEN OF THE SKIES PASSPORT COVER ,0,Hàng giá trị cao - ổn định
20619,TROPICAL PASSPORT COVER ,0,Hàng giá trị cao - ổn định
20620,RED SPOTTY PASSPORT COVER,2,Hàng ngách - khách quen mua lại
20621,ECONOMY PASSPORT COVER ,1,Hàng giá rẻ - số lượng lớn
20622,VIPPASSPORT COVER ,0,Hàng giá trị cao - ổn định
20652,BLUE POLKADOT LUGGAGE TAG ,1,Hàng giá rẻ - số lượng lớn
20653,CHERRY BLOSSOM LUGGAGE TAG,1,Hàng giá rẻ - số lượng lớn
20654,FIRST CLASS LUGGAGE TAG ,0,Hàng giá trị cao - ổn định
20655,QUEEN OF SKIES LUGGAGE TAG,0,Hàng giá trị cao - ổn định
20657,TROPICAL LUGGAGE TAG,1,Hàng giá rẻ - số lượng lớn
20658,RED SPOTTY LUGGAGE TAG,3,Hàng chủ lực - bán chạy đều
20659,ECONOMY LUGGAGE TAG,0,Hàng giá trị cao - ổn định
20660,VIP LUGGAGE TAG ,4,Hàng bán chậm - ít khách
20661,BLUE SPOTTY PURSE ,1,Hàng giá rẻ - số lượng lớn
20662,FIRST CLASS HOLIDAY PURSE ,1,Hàng giá rẻ - số lượng lớn
20663,QUEEN OF THE SKIES HOLIDAY PURSE ,1,Hàng giá rẻ - số lượng lớn
20664,TROPICAL HOLIDAY PURSE ,4,Hàng bán chậm - ít khách
20665,RED RETROSPOT PURSE ,0,Hàng giá trị cao - ổn định
20666,ECONOMY HOLIDAY PURSE,1,Hàng giá rẻ - số lượng lớn
20667,CHERRY BLOSSOM PURSE,2,Hàng ngách - khách quen mua lại
20668,DISCO BALL CHRISTMAS DECORATION,3,Hàng chủ lực - bán chạy đều
20669,RED HEART LUGGAGE TAG,0,Hàng giá trị cao - ổn định
20670,VIP HOLIDAY PURSE,1,Hàng giá rẻ - số lượng lớn
20671,BLUE TEATIME PRINT BOWL ,0,Hàng giá trị cao - ổn định
20672,PINK TEATIME PRINT BOWL,4,Hàng bán chậm - ít khách
20674,GREEN POLKADOT BOWL,3,Hàng chủ lực - bán chạy đều
20675,BLUE POLKADOT BOWL,3,Hàng chủ lực - bán chạy đều
20676,RED RETROSPOT BOWL,3,Hàng chủ lực - bán chạy đều
20677,PINK POLKADOT BOWL,3,Hàng chủ lực - bán chạy đều
20679,EDWARDIAN PARASOL RED,3,Hàng chủ lực - bán chạy đều
20681,PINK SPOTTY CHILDS UMBRELLA,0,Hàng giá trị cao - ổn định
20682,RED RETROSPOT CHILDRENS UMBRELLA,3,Hàng chủ lực - bán chạy đều
20684,STRAWBERRY DREAM CHILDS UMBRELLA,0,Hàng giá trị cao - ổn định
20685,DOORMAT RED RETROSPOT,3,Hàng chủ lực - bán chạy đều
20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,0,Hàng giá trị cao - ổn định
20688,BEAUTY SPEED EXPRESSO CUPS,1,Hàng giá rẻ - số lượng lớn
20689,RETRO SISTERS EXPRESSO CUPS,1,Hàng giá rẻ - số lượng lớn
20692,FLORAL ELEPHANT SOFT TOY,0,Hàng giá trị cao - ổn định
20693,FLORAL DINOSAUR GREEN,4,Hàng bán chậm - ít khách
20694,FLORAL PINK MONSTER,0,Hàng giá trị cao - ổn định
20695,FLORAL BLUE MONSTER,0,Hàng giá trị cao - ổn định
20696,FLORAL SOFT CAR TOY,0,Hàng giá trị cao - ổn định
20697,LITTLE GREEN MONSTER SOFT TOY,4,Hàng bán chậm - ít khách
20698,LITTLE PINK MONSTER SOFT TOY,4,Hàng bán chậm - ít khách
20699,MOUSEY LONG LEGS SOFT TOY,0,Hàng giá trị cao - ổn định
20700,GREEN CAT FLORAL CUSHION COVER ,2,Hàng ngách - khách quen mua lại
20701,PINK CAT FLORAL CUSHION COVER ,2,Hàng ngách - khách quen mua lại
20702,PINK PADDED MOBILE,0,Hàng giá trị cao - ổn định
20703,BLUE PADDED SOFT MOBILE,0,Hàng giá trị cao - ổn định
20704,MR ROBOT SOFT TOY,0,Hàng giá trị cao - ổn định
20705,MRS ROBOT SOFT TOY,0,Hàng giá trị cao - ổn định
20707,CRAZY DAISY HEART DECORATION,3,Hàng chủ lực - bán chạy đều
20711,JUMBO BAG TOYS ,3,Hàng chủ lực - bán chạy đều
20712,JUMBO BAG WOODLAND ANIMALS,3,Hàng chủ lực - bán chạy đều
20713,JUMBO BAG OWLS,3,Hàng chủ lực - bán chạy đều
20714,POSY SHOPPER BAG,1,Hàng giá rẻ - số lượng lớn
20716,PARTY FOOD SHOPPER BAG,3,Hàng chủ lực - bán chạy đều
20717,STRAWBERRY SHOPPER BAG,3,Hàng chủ lực - bán chạy đều
20718,RED RETROSPOT SHOPPER BAG,3,Hàng chủ lực - bán chạy đều
20719,WOODLAND CHARLOTTE BAG,3,Hàng chủ lực - bán chạy đều
20723,STRAWBERRY CHARLOTTE BAG,3,Hàng chủ lực - bán chạy đều
20724,RED RETROSPOT CHARLOTTE BAG,3,Hàng chủ lực - bán chạy đều
20725,LUNCH BAG RED RETROSPOT,3,Hàng chủ lực - bán chạy đều
20726,LUNCH BAG WOODLAND,3,Hàng chủ lực - bán chạy đều
20727,LUNCH BAG  BLACK SKULL.,3,Hàng chủ lực - bán chạy đều
20728,LUNCH BAG CARS BLUE,3,Hàng chủ lực - bán chạy đều
20729,RED SPOTTY CANDY BAG,1,Hàng giá rẻ - số lượng lớn
20730,STRAWBERRY CANDY BAG,1,Hàng giá rẻ - số lượng lớn
20731,POSY CANDY BAG,1,Hàng giá rẻ - số lượng lớn
20733,GOLD MINI TAPE MEASURE ,3,Hàng chủ lực - bán chạy đều
20734,SILVER MINI TAPE MEASURE ,1,Hàng giá rẻ - số lượng lớn
20735,BLACK MINI TAPE MEASURE ,2,Hàng ngách - khách quen mua lại
20736,PINK MINI TAPE MEASURE ,1,Hàng giá rẻ - số lượng lớn
20738,GREEN MINI TAPE MEASURE ,1,Hàng giá rẻ - số lượng lớn
20747,PICCADILLY TEA SET,0,Hàng giá trị cao - ổn định
20748,KENSINGTON COFFEE SET,0,Hàng giá trị cao - ổn định
20749,ASSORTED COLOUR MINI CASES,3,Hàng chủ lực - bán chạy đều
20750,RED RETROSPOT MINI CASES,3,Hàng chủ lực - bán chạy đều
20751,FUNKY WASHING UP GLOVES ASSORTED,3,Hàng chủ lực - bán chạy đều
20752,BLUE POLKADOT WASHING UP GLOVES,3,Hàng chủ lực - bán chạy đều
20753,RETRO PINK SPOT WASHING UP GLOVES,0,Hàng giá trị cao - ổn định
20754,RETROSPOT RED WASHING UP GLOVES,3,Hàng chủ lực - bán chạy đều
20755,BLUE PAISLEY POCKET BOOK,1,Hàng giá rẻ - số lượng lớn
20756,GREEN FERN POCKET BOOK,1,Hàng giá rẻ - số lượng lớn
20757,RED DAISY POCKET BOOK ,1,Hàng giá rẻ - số lượng lớn
20758,ABSTRACT CIRCLES POCKET BOOK,1,Hàng giá rẻ - số lượng lớn
20759,CHRYSANTHEMUM POCKET BOOK ,1,Hàng giá rẻ - số lượng lớn
20760,GARDEN PATH POCKET BOOK,1,Hàng giá rẻ - số lượng lớn
20761,BLUE PAISLEY SKETCHBOOK,0,Hàng giá trị cao - ổn định
20762,GREEN FERN SKETCHBOOK ,0,Hàng giá trị cao - ổn định
20763,DAISY SKETCHBOOK ,0,Hàng giá trị cao - ổn định
20764,ABSTRACT CIRCLES SKETCHBOOK ,0,Hàng giá trị cao - ổn định
20765,CHRYSANTHEMUM SKETCHBOOK ,0,Hàng giá trị cao - ổn định
20766,GARDEN PATH SKETCHBOOK,0,Hàng giá trị cao - ổn định
20767,BLUE PAISLEY JOURNAL ,0,Hàng giá trị cao - ổn định
20768,GREEN FERN JOURNAL ,0,Hàng giá trị cao - ổn định
20769,DAISY JOURNAL ,0,Hàng giá trị cao - ổn định
20770,ABSTRACT CIRCLE JOURNAL ,0,Hàng giá trị cao - ổn định
20771,CHRYSANTHEMUM  JOURNAL,0,Hàng giá trị cao - ổn định
20772,GARDEN PATH JOURNAL,0,Hàng giá trị cao - ổn định
20773,BLUE PAISLEY NOTEBOOK,1,Hàng giá rẻ - số lượng lớn
20774,GREEN FERN NOTEBOOK,1,Hàng giá rẻ - số lượng lớn
20775,DAISY NOTEBOOK ,1,Hàng giá rẻ - số lượng lớn
20776,ABSTRACT CIRCLES NOTEBOOK,1,Hàng giá rẻ - số lượng lớn
20777,CHRYSANTHEMUM NOTEBOOK,1,Hàng giá rẻ - số lượng lớn
20778,GARDEN PATH NOTEBOOK ,1,Hàng giá rẻ - số lượng lớn
20780,BLACK EAR MUFF HEADPHONES,0,Hàng giá trị cao - ổn định
20781,GOLD EAR MUFF HEADPHONES,0,Hàng giá trị cao - ổn định
20782,CAMOUFLAGE EAR MUFF HEADPHONES,0,Hàng giá trị cao - ổn định
20783,HEART EAR MUFF HEADPHONES,0,Hàng giá trị cao - ổn định
20784,RED RETRO BAR STOOL,2,Hàng ngách - khách quen mua lại
20785,FUSCHIA RETRO BAR STOOL,0,Hàng giá trị cao - ổn định
20786,BLACK RETRO BAR STOOL,0,Hàng giá trị cao - ổn định
20787,BLUE RETRO BAR STOOL,2,Hàng ngách - khách quen mua lại
20793,BLUE TILED TRAY,1,Hàng giá rẻ - số lượng lớn
20794,BLUE  TILE HOOK,0,Hàng giá trị cao - ổn định
20795,LARGE BLUE PROVENCAL CERAMIC BALL,4,Hàng bán chậm - ít khách
20796,SMALL BLUE PROVENCAL CERAMIC BALL,4,Hàng bán chậm - ít khách
20798,CLEAR MILKSHAKE GLASS,0,Hàng giá trị cao - ổn định
20799,PINK MILKSHAKE GLASS,1,Hàng giá rẻ - số lượng lớn
20800,LARGE GLASS SUNDAE DISH CLEAR,1,Hàng giá rẻ - số lượng lớn
20801,LARGE PINK GLASS SUNDAE DISH,0,Hàng giá trị cao - ổn định
20802,SMALL GLASS SUNDAE DISH CLEAR,0,Hàng giá trị cao - ổn định
20803,SMALL PINK GLASS SUNDAE DISH,1,Hàng giá rẻ - số lượng lớn
20804,GLASS CHICKEN BUTTER DISH,0,Hàng giá trị cao - ổn định
20814,SILVER FINCH DECORATION,1,Hàng giá rẻ - số lượng lớn
20816,GOLD FLOWER CUSHION COVER ,4,Hàng bán chậm - ít khách
20818,GOLD TEDDY BEAR,4,Hàng bán chậm - ít khách
20819,SILVER TEDDY BEAR,0,Hàng giá trị cao - ổn định
20820,SILVER LOOKING MIRROR,4,Hàng bán chậm - ít khách
20821,GOLDIE LOOKING MIRROR,4,Hàng bán chậm - ít khách
20823,GOLD WINE GOBLET,1,Hàng giá rẻ - số lượng lớn
20825,GOLD WINE GLASS,1,Hàng giá rẻ - số lượng lớn
20826,SILVER APERITIF GLASS,1,Hàng giá rẻ - số lượng lớn
20827,GOLD APERITIF GLASS,1,Hàng giá rẻ - số lượng lớn
20828,GLITTER BUTTERFLY CLIPS,3,Hàng chủ lực - bán chạy đều
20829,GLITTER HANGING BUTTERFLY STRING,3,Hàng chủ lực - bán chạy đều
20830,SILVER PHOTO FRAME,0,Hàng giá trị cao - ổn định
20831,GOLD PHOTO FRAME,0,Hàng giá trị cao - ổn định
20832,RED FLOCK LOVE HEART PHOTO FRAME,1,Hàng giá rẻ - số lượng lớn
20833,SHAKER THROW  QUILTED,4,Hàng bán chậm - ít khách
20835,FRENCH LATTICE CUSHION COVER ,4,Hàng bán chậm - ít khách
20836,FRENCH PAISLEY CUSHION COVER,4,Hàng bán chậm - ít khách
20837,FRENCH FLORAL CUSHION COVER ,4,Hàng bán chậm - ít khách
20838,FRENCH LATTICE CUSHION COVER ,0,Hàng giá trị cao - ổn định
20839,FRENCH PAISLEY CUSHION COVER ,0,Hàng giá trị cao - ổn định
20840,FRENCH FLORAL CUSHION COVER ,1,Hàng giá rẻ - số lượng lớn
20845,ZINC HEART LATTICE 2 WALL PLANTER,4,Hàng bán chậm - ít khách
20846,ZINC HEART LATTICE T-LIGHT HOLDER,3,Hàng chủ lực - bán chạy đều
20847,ZINC HEART LATTICE CHARGER LARGE,4,Hàng bán chậm - ít khách
20848,ZINC HEART LATTICE CHARGER SMALL,4,Hàng bán chậm - ít khách
20849,ZINC HEART LATTICE DOUBLE PLANTER,1,Hàng giá rẻ - số lượng lớn
20850,ZINC HEART LATTICE PLANTER BOWL,1,Hàng giá rẻ - số lượng lớn
20851,ZINC HEART LATTICE TRAY OVAL ,1,Hàng giá rẻ - số lượng lớn
20854,BLUE PATCH PURSE PINK HEART,0,Hàng giá trị cao - ổn định
20855,PINK PATCH PURSE BLUE HEART,4,Hàng bán chậm - ít khách
20856,DENIM PATCH PURSE PINK BUTTERFLY,0,Hàng giá trị cao - ổn định
20857,BLUE ROSE PATCH PURSE PINK BUTTERFL,0,Hàng giá trị cao - ổn định
20860,GOLD COSMETICS BAG WITH BUTTERFLY,4,Hàng bán chậm - ít khách
20861,GOLD COSMETIC BAG PINK STAR,4,Hàng bán chậm - ít khách
20862,PINK PATCH PENCIL CASE BLUE HEART,1,Hàng giá rẻ - số lượng lớn
20863,BLUE PATCH PENCIL CASE PINK HEART,0,Hàng giá trị cao - ổn định
20864,DENIM PATCH PENCIL CASE BUTTERFLY,1,Hàng giá rẻ - số lượng lớn
20865,PATCHWORK PENCIL CASE BUTTERFLY ,1,Hàng giá rẻ - số lượng lớn
20866,BLUE ROSE FABRIC MIRROR,3,Hàng chủ lực - bán chạy đều
20867,PINK ROSE FABRIC MIRROR,1,Hàng giá rẻ - số lượng lớn
20868,SILVER FABRIC MIRROR,1,Hàng giá rẻ - số lượng lớn
20869,GOLD FABRIC MIRROR,1,Hàng giá rẻ - số lượng lớn
20870,OPULENT VELVET CANDLE IN BOX,4,Hàng bán chậm - ít khách
20871,OPULENT VELVET SET/3 CANDLES,1,Hàng giá rẻ - số lượng lớn
20877,MODERN CHRISTMAS BAUBLE CANDLE ,4,Hàng bán chậm - ít khách
20878,SET/9 CHRISTMAS T-LIGHTS SCENTED ,1,Hàng giá rẻ - số lượng lớn
